Date,Total Cases,Total Death
13 Jul 21,104101,4848
12 Jul 21,104072,4848
11 Jul 21,104020,4848
10 Jul 21,104019,4848
09 Jul 21,103992,4848
08 Jul 21,103966,4848
07 Jul 21,103948,4848
06 Jul 21,103890,4848
05 Jul 21,103866,4847
04 Jul 21,103841,4847
03 Jul 21,103825,4847
02 Jul 21,103791,4847
01 Jul 21,103769,4847
30 Jun 21,103755,4847
29 Jun 21,103745,4847
28 Jun 21,103724,4847
27 Jun 21,103696,4847
26 Jun 21,103680,4847
25 Jun 21,103651,4846
24 Jun 21,103620,4846
23 Jun 21,103602,4846
22 Jun 21,103571,4846
21 Jun 21,103543,4846
20 Jun 21,103525,4846
19 Jun 21,103501,4846
18 Jun 21,103467,4846
17 Jun 21,103444,4846
16 Jun 21,103424,4846
15 Jun 21,103401,4846
14 Jun 21,103380,4846
13 Jun 21,103357,4846
12 Jun 21,103320,4846
11 Jun 21,103285,4846
10 Jun 21,103261,4846
09 Jun 21,103235,4846
08 Jun 21,103216,4846
07 Jun 21,103176,4846
06 Jun 21,103150,4846
05 Jun 21,103119,4846
04 Jun 21,103094,4846
03 Jun 21,103069,4846
02 Jun 21,103045,4846
01 Jun 21,103014,4846
31 May 21,102987,4846
30 May 21,102960,4846
29 May 21,102948,4846
28 May 21,102932,4846
27 May 21,102925,4846
26 May 21,102905,4846
25 May 21,102890,4846
24 May 21,102873,4846
23 May 21,102853,4846
22 May 21,102833,4846
21 May 21,102822,4846
20 May 21,102797,4846
19 May 21,102784,4846
18 May 21,102769,4846
17 May 21,102746,4846
16 May 21,102717,4846
15 May 21,102696,4846
14 May 21,102681,4846
13 May 21,102671,4846
12 May 21,102660,4846
11 May 21,102643,4846
10 May 21,102625,4846
09 May 21,102613,4846
08 May 21,102596,4846
07 May 21,102586,4846
06 May 21,102571,4846
05 May 21,102560,4846
04 May 21,102549,4846
03 May 21,102530,4846
02 May 21,102517,4846
01 May 21,102494,4845
30 Apr 21,102474,4845
29 Apr 21,102446,4845
28 Apr 21,102419,4845
27 Apr 21,102399,4845
26 Apr 21,102384,4845
25 Apr 21,102367,4845
24 Apr 21,102351,4845
23 Apr 21,102333,4845
22 Apr 21,102300,4845
21 Apr 21,102293,4845
20 Apr 21,102264,4845
19 Apr 21,102242,4845
18 Apr 21,102201,4845
17 Apr 21,102167,4845
16 Apr 21,102135,4845
15 Apr 21,102118,4845
14 Apr 21,102103,4843
13 Apr 21,102078,4843
12 Apr 21,102056,4843
11 Apr 21,102027,4843
10 Apr 21,102012,4842
09 Apr 21,101984,4841
08 Apr 21,101953,4841
07 Apr 21,101920,4841
06 Apr 21,101901,4841
05 Apr 21,101861,4841
04 Apr 21,101821,4841
03 Apr 21,101799,4841
02 Apr 21,101754,4841
